공급유형,단지명,주소,지하철역_x,SupplyCategory,공급평형,공급호수,예비모집,선택,지하철역_y,지하철역
신규공급,동대문구 장안동 418-1,동대문구 장안동 418-1,,청년안심주택(신혼부부Ⅰ),37,1,,✅,장한평역,장한평역
신규공급,라봄 성동(성동구 마장동 339-2),성동구 마장동 339-2,,"청년안심주택(공공-청년(대학생,취업준비생))",18A,27,,✅,마장역,마장역
신규공급,라봄 성동(성동구 마장동 339-2),성동구 마장동 339-2,,"청년안심주택(공공-청년(대학생,취업준비생))",18B,2,,✅,마장역,마장역
신규공급,라봄 성동(성동구 마장동 339-2),성동구 마장동 339-2,,"청년안심주택(공공-청년(대학생,취업준비생))",19A,4,,✅,마장역,마장역
신규공급,라봄 성동(성동구 마장동 339-2),성동구 마장동 339-2,,"청년안심주택(공공-청년(대학생,취업준비생))",19B,2,,✅,마장역,마장역
신규공급,라봄 성동(성동구 마장동 339-2),성동구 마장동 339-2,,"청년안심주택(공공-청년(대학생,취업준비생))",20,14,,✅,마장역,마장역
신규공급,라봄 성동(성동구 마장동 339-2),성동구 마장동 339-2,,"청년안심주택(공공-청년(대학생,취업준비생))",25A,3,,✅,마장역,마장역
신규공급,라봄 성동(성동구 마장동 339-2),성동구 마장동 339-2,,"청년안심주택(공공-청년(대학생,취업준비생))",25B,4,,✅,마장역,마장역
신규공급,라봄 성동(성동구 마장동 339-2),성동구 마장동 339-2,,청년안심주택(신혼부부Ⅰ),39A,16,,✅,마장역,마장역
신규공급,라봄 성동(성동구 마장동 339-2),성동구 마장동 339-2,,청년안심주택(신혼부부Ⅰ),39B,2,,✅,마장역,마장역
재공급,리마크빌 군자(광진구 중곡동 637-5),광진구 중곡동 637-5,,"청년안심주택(공공-청년(대학생,취업준비생))",16.32,4,,✅,군자역,군자역
재공급,리마크빌 군자(광진구 중곡동 637-5),광진구 중곡동 637-5,,"청년안심주택(공공-청년(대학생,취업준비생))",30.41,1,,✅,군자역,군자역
재공급,리마크빌 군자(광진구 중곡동 637-5),광진구 중곡동 637-5,,"청년안심주택(공공-청년(대학생,취업준비생))",32.34,1,,✅,군자역,군자역
재공급,리스트강남,강남구 논현동 202-7,,"청년안심주택(공공-청년(대학생,취업준비생))",14,7,,✅,언주역,언주역
신규공급,메트로움 지밸리 퍼스트(관악구 신림동 1644-3),관악구 신림동 1644-3,,"청년안심주택(공공-청년(대학생,취업준비생))",16,44,,✅,신림역,신림역
신규공급,메트로움 지밸리 퍼스트(관악구 신림동 1644-3),관악구 신림동 1644-3,,청년안심주택(신혼부부Ⅰ),32,26,,✅,신림역,신림역
재공급,문정역 마에스트로,송파구 문정동 55-6,,"청년안심주택(공공-청년(대학생,취업준비생))",26B,1,,✅,문정역,문정역
재공급,문정역 마에스트로,송파구 문정동 55-6,,"청년안심주택(공공-청년(대학생,취업준비생))",29,1,,✅,문정역,문정역
신규공급,백악관타워(광진구 중곡동 93-13),광진구 중곡동 93-13,,"청년안심주택(공공-청년(대학생,취업준비생))",18B,6,,✅,중곡역,중곡역
신규공급,백악관타워(광진구 중곡동 93-13),광진구 중곡동 93-13,,"청년안심주택(공공-청년(대학생,취업준비생))",19,2,,✅,중곡역,중곡역
신규공급,백악관타워(광진구 중곡동 93-13),광진구 중곡동 93-13,,"청년안심주택(공공-청년(대학생,취업준비생))",23B,4,,✅,중곡역,중곡역
신규공급,백악관타워(광진구 중곡동 93-13),광진구 중곡동 93-13,,"청년안심주택(공공-청년(대학생,취업준비생))",33,2,,✅,중곡역,중곡역
신규공급,백악관타워(광진구 중곡동 93-13),광진구 중곡동 93-13,,청년안심주택(신혼부부Ⅰ),44,5,,✅,중곡역,중곡역
재공급,보눔하우스 화곡,강서구 화곡동 401-1,,"청년안심주택(공공-청년(대학생,취업준비생))",15,1,,✅,화곡역,화곡역
쉐어예비,서교동 효성해링턴 타워,마포구 서교동 494,,청년안심주택(공공-청년-셰어형)(남),37M,18,,✅,홍대입구역,홍대입구역
쉐어예비,서교동 효성해링턴 타워,마포구 서교동 494,,청년안심주택(공공-청년-셰어형)(여),37W,20,,✅,홍대입구역,홍대입구역
재공급,선릉역 마에스트로,강남구 삼성동 140-32,,"청년안심주택(공공-청년(대학생,취업준비생))",22A,2,,✅,선릉역,선릉역
재공급,선정릉역 모아엘가 퍼스트홈,강남구 논현동 278-4,,"청년안심주택(공공-청년(대학생,취업준비생))",22,1,,✅,선정릉역,선정릉역
신규공급,세이지움 상봉(중랑구 상봉동 109-28),중랑구 상봉동 109-28,,청년안심주택(신혼부부Ⅰ),48,2,,✅,상봉역,상봉역
재공급,센터스퀘어 서울대점,관악구 신림동 1747,,청년안심주택(신혼부부Ⅱ),44C,5,,✅,서울대입구역,서울대입구역
재공급,센텀힐스 한강,광진구 구의동 587-62,,"청년안심주택(공공-청년(대학생,취업준비생))",16.39,1,,✅,구의역,구의역
재공급,스타타워(서대문구 남가좌동 269-1),서대문구 남가좌동 269-1,,"청년안심주택(공공-청년(대학생,취업준비생))",18,1,,✅,가좌역,가좌역
재공급,어바니엘 위드 더 스타일 충정로,서대문구 충정로3가 480,,청년안심주택(신혼부부Ⅰ),35,5,,✅,충정로역,충정로역
신규공급,어반허브 서울 스테이션(용산구 서계동 100-1),용산구 서계동 100-1,,"청년안심주택(공공-청년(대학생,취업준비생))",18,1,,✅,서울역,서울역
신규공급,어반허브 서울 스테이션(용산구 서계동 100-1),용산구 서계동 100-1,,"청년안심주택(공공-청년(대학생,취업준비생))",19A,2,,✅,서울역,서울역
신규공급,어반허브 서울 스테이션(용산구 서계동 100-1),용산구 서계동 100-1,,"청년안심주택(공공-청년(대학생,취업준비생))",19B,2,,✅,서울역,서울역
신규공급,어반허브 서울 스테이션(용산구 서계동 100-1),용산구 서계동 100-1,,"청년안심주택(공공-청년(대학생,취업준비생))",19C,5,,✅,서울역,서울역
신규공급,어반허브 서울 스테이션(용산구 서계동 100-1),용산구 서계동 100-1,,"청년안심주택(공공-청년(대학생,취업준비생))",20B,2,,✅,서울역,서울역
신규공급,어반허브 서울 스테이션(용산구 서계동 100-1),용산구 서계동 100-1,,"청년안심주택(공공-청년(대학생,취업준비생))",20A,2,,✅,서울역,서울역
신규공급,어반허브 서울 스테이션(용산구 서계동 100-1),용산구 서계동 100-1,,"청년안심주택(공공-청년(대학생,취업준비생))",20C,3,,✅,서울역,서울역
신규공급,어반허브 서울 스테이션(용산구 서계동 100-1),용산구 서계동 100-1,,"청년안심주택(공공-청년(대학생,취업준비생))",21B,4,,✅,서울역,서울역
신규공급,어반허브 서울 스테이션(용산구 서계동 100-1),용산구 서계동 100-1,,청년안심주택(신혼부부Ⅰ),35,1,,✅,서울역,서울역
신규공급,어반허브 서울 스테이션(용산구 서계동 100-1),용산구 서계동 100-1,,청년안심주택(신혼부부Ⅰ),37,2,,✅,서울역,서울역
신규공급,에드가 개봉(구로구 개봉동 179-11),구로구 개봉동 179-11,,"청년안심주택(공공-청년(대학생,취업준비생))",16,21,,✅,개봉역,개봉역
신규공급,에드가 개봉(구로구 개봉동 179-11),구로구 개봉동 179-11,,"청년안심주택(공공-청년(대학생,취업준비생))",18,23,,✅,개봉역,개봉역
신규공급,에드가 개봉(구로구 개봉동 179-11),구로구 개봉동 179-11,,청년안심주택(신혼부부Ⅰ),35,4,,✅,개봉역,개봉역
신규공급,에드가 개봉(구로구 개봉동 179-11),구로구 개봉동 179-11,,청년안심주택(신혼부부Ⅰ),36,2,,✅,개봉역,개봉역
신규공급,에드가 상계(노원구 상계동 1049-71),노원구 상계동 1049-71,,"청년안심주택(공공-청년(대학생,취업준비생))",16,27,,✅,상계역,상계역
신규공급,에드가 상계(노원구 상계동 1049-71),노원구 상계동 1049-71,,"청년안심주택(공공-청년(대학생,취업준비생))",18,5,,✅,상계역,상계역
신규공급,에드가 상계(노원구 상계동 1049-71),노원구 상계동 1049-71,,"청년안심주택(공공-청년(대학생,취업준비생))",33,57,,✅,상계역,상계역
신규공급,에드가 상계(노원구 상계동 1049-71),노원구 상계동 1049-71,,청년안심주택(신혼부부Ⅰ),36,16,,✅,상계역,상계역
신규공급,에드가 휘경(동대문구 휘경동 244-1),동대문구 휘경동 244-1,,"청년안심주택(공공-청년(대학생,취업준비생))",16,16,,✅,회기역,회기역
신규공급,에드가 휘경(동대문구 휘경동 244-1),동대문구 휘경동 244-1,,"청년안심주택(공공-청년(대학생,취업준비생))",18,7,,✅,회기역,회기역
신규공급,에드가 휘경(동대문구 휘경동 244-1),동대문구 휘경동 244-1,,청년안심주택(신혼부부Ⅰ),33,7,,✅,회기역,회기역
신규공급,에드가 휘경(동대문구 휘경동 244-1),동대문구 휘경동 244-1,,청년안심주택(신혼부부Ⅰ),36,6,,✅,회기역,회기역
쉐어예비,옥산 그린타워,광진구 구의동 587-64,,청년안심주택(공공-청년-셰어형)(남),32M,2,,✅,구의역,구의역
쉐어예비,옥산 그린타워,광진구 구의동 587-64,,청년안심주택(공공-청년-셰어형)(여),32W,2,,✅,구의역,구의역
재공급,와이엔타워(공릉동 617-3외 2필지),노원구 공릉동 617-3,,청년안심주택(신혼부부Ⅰ),35,1,,✅,공릉역,공릉역
신규공급,용산 남영역 롯데캐슬 헤리티지(용산구 갈월동 98-6),용산구 갈월동 98-6,,청년안심주택(신혼부부Ⅰ),39,4,,✅,남영역,남영역
신규공급,용산 남영역 롯데캐슬 헤리티지(용산구 갈월동 98-6),용산구 갈월동 98-6,,청년안심주택(신혼부부Ⅱ),49,8,,✅,남영역,남영역
재공급,용산 원효 루미니,용산구 원효로 1가 134,,"청년안심주택(공공-청년(대학생,취업준비생))",29,6,,✅,효창공원앞역,효창공원앞역
재공급,용산 원효 루미니,용산구 원효로 1가 134,,청년안심주택(공공-청년-셰어형),29E,4,,✅,효창공원앞역,효창공원앞역
재공급,용산 원효 루미니,용산구 원효로 1가 134,,청년안심주택(공공-청년-셰어형)(남),29M,6,,✅,효창공원앞역,효창공원앞역
재공급,용산 원효 루미니,용산구 원효로 1가 134,,청년안심주택(공공-청년-셰어형)(여),29W,1,,✅,효창공원앞역,효창공원앞역
쉐어예비,용산베르디움프렌즈,용산구 한강로2가 426,,청년안심주택(공공-청년-셰어형),39E,10,,✅,용산역,용산역
쉐어예비,용산베르디움프렌즈,용산구 한강로2가 426,,청년안심주택(공공-청년-셰어형)(여),39W,22,,✅,용산역,용산역
쉐어예비,용산베르디움프렌즈,용산구 한강로2가 426,,청년안심주택(공공-청년-셰어형)(남),39M,27,,✅,용산역,용산역
재공급,잠실센트럴파크(송파구 잠실동 187-10),송파구 잠실동 187-10,,"청년안심주택(공공-청년(대학생,취업준비생))",17,1,,✅,잠실역,잠실역
재공급,준타워(영등포구 신길동 173-6),영등포구 신길동 173-6,,"청년안심주택(공공-청년(대학생,취업준비생))",15,1,,✅,신길역,신길역
신규공급,중랑구 상봉동 100,중랑구 상봉동 100,,"청년안심주택(공공-청년(대학생,취업준비생))",30,5,,✅,상봉역,상봉역
신규공급,중랑구 상봉동 100,중랑구 상봉동 100,,"청년안심주택(공공-청년(대학생,취업준비생))",34,6,,✅,상봉역,상봉역
신규공급,중랑구 상봉동 100,중랑구 상봉동 100,,청년안심주택(신혼부부Ⅰ),36,3,,✅,상봉역,상봉역
재공급,천호역 효성해링턴타워(성내동 609),강동구 성내동 609,,"청년안심주택(공공-청년(대학생,취업준비생))",16,3,,✅,천호역,천호역
재공급,천호역 효성해링턴타워(성내동 609),강동구 성내동 609,,청년안심주택(신혼부부Ⅰ),35A,2,,✅,천호역,천호역
재공급,청계로벤하임(숭인동 240-1),종로구 숭인동 240-1,,"청년안심주택(공공-청년(대학생,취업준비생))",20,1,,✅,동묘앞역,동묘앞역
,청년안심주택(광운대역 다움하우스),,,"청년안심주택(공공-청년(대학생,취업준비생))",18B,57,,✅,광운대역,광운대역
,청년안심주택(광운대역 다움하우스),,,"청년안심주택(공공-청년(대학생,취업준비생))",18C,12,,✅,광운대역,광운대역
,청년안심주택(도곡 더써밋타워),,,"청년안심주택(공공-청년(대학생,취업준비생))",18A,51,,✅,도곡역,도곡역
,청년안심주택(백악관타워),,,"청년안심주택(공공-청년(대학생,취업준비생))",18A,46,,✅,중곡역,중곡역
,청년안심주택(백악관타워),,,"청년안심주택(공공-청년(대학생,취업준비생))",23A,36,,✅,중곡역,중곡역
,청년안심주택(세이지움 상봉),,,"청년안심주택(공공-청년(대학생,취업준비생))",23,338,,✅,상봉역,상봉역
,청년안심주택(세이지움 상봉),,,청년안심주택(신혼부부Ⅱ),39,42,,✅,상봉역,상봉역
,청년안심주택(어반허브 서울 스테이션),,,"청년안심주택(공공-청년(대학생,취업준비생))",21A,36,,✅,서울역,서울역
,청년안심주택(어반허브 서울 스테이션),,,"청년안심주택(공공-청년(대학생,취업준비생))",22,36,,✅,서울역,서울역
,청년안심주택(어반허브 서울 스테이션),,,"청년안심주택(공공-청년(대학생,취업준비생))",26,17,,✅,서울역,서울역
,청년안심주택(용산 남영역 롯데캐슬 헤리티지),,,"청년안심주택(공공-청년(대학생,취업준비생))",23,40,,✅,남영역,남영역
,청년안심주택(중랑구 상봉동 100),,,"청년안심주택(공공-청년(대학생,취업준비생))",20,161,,✅,상봉역,상봉역
쉐어예비,코네스트(CONEST),서초구 서초동 1365-8,,청년안심주택(공공-청년-셰어형),36E,8,,✅,교대역,교대역
재공급,태릉입구역 이니티움(노원구 공릉동 684-41),노원구 공릉동 684-41,,청년안심주택(신혼부부Ⅰ),44,1,,✅,태릉입구역,태릉입구역
재공급,하트리움(동대문구 휘경동 380),동대문구 휘경동 380,,"청년안심주택(공공-청년(대학생,취업준비생))",33,1,,✅,회기역,회기역
재공급,한화포레나 당산(영등포구 당산동 2가 165),영등포구 당산동 2가 165,,"청년안심주택(공공-청년(대학생,취업준비생))",17,1,,✅,당산역,당산역
재공급,한화포레나 당산(영등포구 당산동 2가 165),영등포구 당산동 2가 165,,"청년안심주택(공공-청년(대학생,취업준비생))",33,1,,✅,당산역,당산역
재공급,한화포레나 당산(영등포구 당산동 2가 165),영등포구 당산동 2가 165,,청년안심주택(신혼부부Ⅰ),36,1,,✅,당산역,당산역
재공급,호반베르디움 스테이원,은평구 대조동 241,,청년안심주택(신혼부부Ⅰ),36A,4,,✅,역촌역,역촌역
재공급,호반베르디움 스테이원,은평구 대조동 241,,청년안심주택(신혼부부Ⅱ),36B,6,,✅,역촌역,역촌역
재공급,호반베르디움 스테이원(은평구 대조동 241),은평구 대조동 241,,"청년안심주택(공공-청년(대학생,취업준비생))",17,1,,✅,역촌역,역촌역
재공급,홍대크리원,마포구 상수동 355-2,,"청년안심주택(공공-청년(대학생,취업준비생))",18,1,,✅,상수역,상수역
재공급,힐데스하임,성동구 용답동 233-1,,"청년안심주택(공공-청년(대학생,취업준비생))",14,4,,✅,용답역,용답역
